1,2,3,4,5,6,USBN,UNBK
86.4375,87.95,89.75,88.6,87,92,94.8,80
85.5,86.15,85.78333333,87.7,88,94,95.8,92
83.375,83.16666667,86.35,83.73333333,87,89,92.8,72
91.75,90.55,84.7,89.6,87,93,94.8,68
83.875,84,87.75,88.35,89,92,95.2,52
83.5,83.35,83.35,83.38333333,86,90,93.4,80
82.6875,83.5,82.83333333,83.25,87,89,91.6,68
84.3125,84.7,86.23333333,85.7,89,92,96,78
83.25,83.13333333,82.3,82.18333333,87,88,93.4,54
81,82.83333333,89.5,84.2,87,89,95.8,60
89.75,86.48333333,85.55,88.95,90,92,97.6,82
82.6875,82,82.275,82.35,86,88,90.4,46
86.0625,85.8,84.51666667,85.06666667,90,95,96.4,88
89.0625,86.45,86.36666667,86.71666667,89,93,95.8,78
90.1875,88.15,87.975,86.78333333,87,93,95.2,80
85,85.3,83.03333333,87.175,87,91,94.8,72
84.875,85.51666667,82.9,83.58333333,88,92,93.6,62
84.5625,84.85,83.26666667,82.86666667,87,93,96.6,88
84.6875,84.2,86.5,86.9,87,92,95.8,86
83.875,83.9,84.88333333,84.33333333,87,91,96.4,74
